symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
033780.KS,KT&G,KS,18004233265000.0,True,True,True,5,12350.186,11379.446,11383.99,11363.422,10979.234,13131.3955,12489.548,True,True,True,12,12,1,0,19,0.101,0.14175001,0.47486,14.332064,,True,
247540.KQ,ECOPROBM,KQ,18558433329800.0,True,True,True,5,365.43167,373.3279,418.05258,445.93848,441.56924,1070.303,1032.4221,True,True,True,1,4,3,1,23,0.069,0.083620004,0.10656,193.20436,,True,
003670.KS,POSCO FUTURE M,KS,17611351560000.0,True,True,True,5,572.8413,562.2481,475.23624,522.2531,520.81104,1181.7495,1324.4316,True,True,True,1,1,1,1,26,-0.229,-0.09328,0.0865,207.74284,,True,
086280.KS,HYUNDAIGLOVIS,KS,17287500000000.0,True,True,True,5,22636.182,22643.36,23849.42,23792.969,23792.969,24341.553,25385.6,True,True,True,3,4,11,12,20,0.082,0.066750005,0.092130005,10.845652,,True,
017670.KS,SKTelecom,KS,16796582144600.0,True,True,True,5,5615.436,5511.464,5529.019,5513.6987,5530.29,6133.326,5837.6836,True,True,True,10,12,4,3,25,-0.014,0.1224,0.70408994,16.892765,,True,
079550.KS,LIG Defense&Aerospace,KS,15444000000000.0,True,True,True,5,17714.594,17475.477,17369.346,17052.611,18510.738,24279.178,24473.82,True,True,True,5,6,4,4,20,0.203,0.02785,0.15389,36.20386,,False,
352820.KS,HYBE,KS,15267551407000.0,True,True,True,5,6139.2026,9745.628,10079.214,9882.017,9195.062,9804.237,10220.039,True,True,True,2,6,8,1,26,-0.014,0.0057099997,0.35317,24.683205,,False,
030200.KS,KT,KS,14944885920500.0,True,True,True,5,5948.5425,6027.2905,6092.6533,6154.301,6021.2734,6454.7676,6512.5767,True,True,True,1,2,8,3,24,0.041,0.03225,1.0,9.125038,,True,
003550.KS,LG Corp.,KS,13957053442500.0,True,True,True,5,9267.833,8430.079,8386.625,8332.87,8504.57,10618.832,10904.434,True,True,True,2,2,1,1,13,-0.146,-0.27694,0.18666,10.829816,,True,
278470.KS,APR,KS,13814679195000.0,True,True,True,5,14510.881,13449.271,12242.708,11625.046,11648.714,18894.76,14274.47,True,True,True,15,18,0,1,26,1.242,0.23788,0.76613,22.532703,,True,
277810.KQ,Rainbow Robotics,KQ,13929098044000.0,True,True,True,5,276.0,966.5,966.5,1657.0,1657.0,1188.0,13916.0,True,True,True,0,0,0,0,1,0.349,0.13057,0.34903,694.44446,,False,
0126Z0.KS,SAMSUNG EPIS HOLDINGS,KS,13237782068000.0,True,True,True,5,16590.0,18260.0,18260.0,0.0,0.0,18220.0,0.0,True,True,True,0,0,0,0,1,,-0.25285,0.36157,28.100988,,False,
005830.KS,DB INSURANCE,KS,12801348000000.0,True,True,True,5,26104.879,27043.979,27048.928,27048.928,25514.188,28529.26,27011.99,True,True,True,1,0,3,1,17,0.106,0.068169996,0.24452999,5.866528,,True,
071050.KS,KIH,KS,12761252168000.0,True,True,True,5,35963.91,35648.273,34042.625,33639.332,29444.916,35791.816,30482.584,True,True,True,2,2,0,1,12,-0.032,-0.74541,0.0,7.1245337,,False,
047050.KS,POSCO INTERNATIONAL,KS,12631256178400.0,True,True,True,5,5042.6665,4557.3,4504.4,4439.5557,4439.5557,5278.4165,4686.636,True,True,True,5,5,0,0,12,,0.03582,0.05963,14.057246,,False,
010950.KS,S-Oil,KS,12519206470400.0,True,True,True,5,18776.793,10687.295,9405.701,8896.685,8475.065,11575.359,9587.22,True,True,True,0,3,0,0,18,-0.005,0.13768,1.0,9.796672,,True,
018260.KS,SAMSUNG SDS,KS,12496514700000.0,True,True,True,5,9281.441,9383.803,10669.351,10761.112,10781.77,11467.063,11925.065,True,True,True,1,1,4,4,17,-0.039,0.02326,0.13978,15.705852,,True,
039490.KS,KIWOOM,KS,12173354003000.0,True,True,True,5,58753.824,57886.508,56081.34,53836.723,53306.05,56092.586,51387.832,True,True,True,2,3,2,3,15,0.687,0.37222,0.97213,7.371741,,False,
005940.KS,NHIS,KS,11901901924600.0,True,True,True,5,3936.4443,3322.0,3263.2856,3248.3333,2672.6365,3466.9167,2726.6365,True,True,True,1,3,0,0,13,1.849,0.2585,0.97203004,9.778141,,True,
307950.KS,HyundaiAutoever,KS,11682616332000.0,True,True,True,5,7609.351,8164.351,8211.326,8208.743,8244.659,9992.75,10296.454,True,True,True,0,0,8,10,15,0.141,0.05781,0.104779996,67.84919,,False,
323410.KS,KakaoBank,KS,11759133047050.0,True,True,True,5,1301.6917,1226.7959,1265.755,1283.6771,1287.0435,1385.1332,1287.2958,True,True,True,7,6,1,2,18,0.089,0.46231997,0.0,16.243925,,False,
259960.KS,KRAFTON,KS,10997865112000.0,True,True,True,5,24315.059,21654.416,21474.373,20744.338,23407.041,25908.021,25792.514,True,True,True,13,13,2,0,23,0.489,0.00266,1.0,10.846062,,True,
007660.KS,ISUPETASYS,KS,9506493860500.0,True,True,True,5,3575.0461,3612.3225,3598.3901,3574.6025,3604.0,5281.7866,4599.4546,True,True,True,1,1,0,0,14,0.318,0.19068001,0.25843,24.575018,,False,
000880.KS,Hanwha,KS,9114982176000.0,True,True,True,5,11423.5,11314.929,9900.667,9900.667,12371.167,17584.824,15747.688,True,True,True,1,1,0,1,10,0.173,0.01872,0.13423,8.086518,,True,
298380.KQ,ABL Bio,KQ,10637617970000.0,True,True,True,5,-121.8,-382.4,-382.4,-382.4,-404.0,214.25,-12.5,True,True,True,0,0,0,0,5,,80203880.0,0.99848,573.1622,,False,
006260.KS,LS,KS,9063600000000.0,True,True,True,5,15920.817,15854.575,15716.66,16911.55,22886.0,19723.096,23113.16,True,True,True,1,1,0,0,7,,0.03339,0.08891,26.010117,,False,
003490.KS,KAL,KS,9039817227550.0,True,True,True,5,815.4,815.4,2363.0422,2707.6726,2558.801,3035.7273,3471.5454,True,True,True,1,0,3,2,13,0.443,0.02385,0.1457,8.647021,,False,
016360.KS,SamsungSecu,KS,8804980000000.0,True,True,True,5,17911.666,13914.091,13914.091,13657.3,13517.5,14920.0,13126.7,True,True,True,1,1,0,0,13,0.286,0.22722,0.97268,8.558981,,True,
009830.KS,HANWHA SOLUTIONS,KS,8551653666000.0,True,True,True,5,1607.9829,583.4174,583.4174,808.36035,812.2902,3655.5164,3212.9668,True,True,True,2,2,0,0,17,,0.02385,0.09887,12.611077,,True,
058470.KQ,LEENO,KQ,8924407635000.0,True,True,True,5,2411.411,2428.6494,2413.3794,2487.6812,2204.9517,3039.6455,0.0,True,True,True,1,1,1,1,14,-0.03,0.32919,0.40129003,35.23437,,False,
003230.KS,SamyangFood,KS,8286316500000.0,True,True,True,5,74798.49,70911.27,70957.086,71741.266,71867.586,87912.7,90325.69,True,True,True,1,3,8,2,19,0.332,0.21812001,0.44744998,16.129637,,False,
180640.KS,HANJINKAL,KS,8545571712000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.128,0.15564999,0.42141998,,,True,
377300.KS,kakaopay,KS,8140499609200.0,True,True,True,5,946.58044,801.21875,787.1112,773.7001,1022.2837,1073.9614,917.43616,True,True,True,4,5,1,2,11,0.237,0.07718,1.0,48.6051,,True,
443060.KS,HDHMS,KS,7988943897000.0,True,True,True,5,7909.6396,7801.6,7744.6,7828.7114,8105.65,9677.203,10149.337,True,True,True,3,4,0,0,10,0.114,0.1754,0.22923,22.888845,,False,
090430.KS,AMOREPACIFIC,KS,7878974637300.0,True,True,True,5,5781.121,5748.0044,5820.512,5810.3525,5692.0938,6624.252,6377.2036,True,True,True,7,8,4,0,27,0.066,0.04517,0.72330004,18.900248,,True,
950160.KQ,Kolon TissueGene,KQ,8092515762000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
000100.KS,Yuhan,KS,7861218218700.0,True,True,True,5,1653.4286,2070.1995,2101.6228,2171.8728,2328.6013,2948.153,3440.6985,True,True,True,0,0,4,3,20,0.101,0.04948,0.33319,29.64568,,False,
326030.KS,SKBP,KS,7635541875000.0,True,True,True,5,3536.3726,3399.4258,3376.162,3376.162,3525.6592,4636.945,4946.0586,True,True,True,2,3,1,1,12,0.192,0.23811,0.9393,21.43653,,True,
087010.KQ,PEPTRON,KQ,7403258625000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
161390.KS,HANKOOK TIRE & TECHNOLOGY,KS,7060878933000.0,True,True,True,5,11381.659,11761.614,11966.322,12241.878,12241.878,12392.335,12950.389,True,True,True,1,1,3,2,17,1.155,0.10023,0.21707001,4.9062586,,True,
141080.KQ,LCB,KQ,7318406566200.0,True,True,True,5,1375.0,1350.0,1350.0,1350.0,1350.0,78.0,49.0,True,True,True,0,0,1,1,6,-0.526,-4.58395,0.89009005,103.17999,,False,
029780.KS,SAMSUNG CARD,KS,6928361681800.0,True,True,True,5,6137.0,6137.0,6137.0,6137.0,5909.6665,6207.0,6275.3335,True,True,True,0,0,0,0,3,0.248,0.22208,0.36618,8.103754,,True,
